idx;stop_epoch;window_length;n_filters;kernel_size;n_conv_layer;LSTM1_units;LSTM2_units;n_window;val_rmse;val_score;rmse_combined;score_combined;AIC;train_loss;mle_term;params_term;geno_list
0;15;2;3;2;1;180;100;29;13,25525665;867,4105225;13,32450248;874,3351049;692458,2474;218,0063782;85436,24739;607022;"[2; 3; 1; 9; 5]"
0;18;2;5;2;1;240;100;29;13,48494148;931,0736084;13,59401107;941,9805674;1090695,903;218,5243683;85473,90317;1005222;"[2; 5; 1; 12; 5]"
0;14;2;3;2;1;180;180;29;13,52610683;1044,816528;13,62449333;1054,655178;983864,9824;171,6500854;81642,98237;902222;"[2; 3; 1; 9; 9]"
0;18;2;3;2;1;280;140;29;13,6136713;947,8380737;13,75104743;961,5756861;1373761,234;198,378479;83939,23396;1289822;"[2; 3; 1; 14; 7]"
0;15;2;3;2;1;160;160;29;13,61950302;968,9842529;13,7002946;977,0634106;807915,769;183,4024048;82693,76896;725222;"[2; 3; 1; 8; 8]"
0;17;2;6;2;1;180;180;29;13,63218975;1057,662354;13,74268696;1068,712074;1104972,068;168,7229309;81370,06822;1023602;"[2; 6; 1; 9; 9]"
0;19;2;8;2;1;260;200;29;13,63809013;1078,85022;13,82095848;1097,137054;1828683,424;162,3734283;80761,42419;1747922;"[2; 8; 1; 13; 10]"
0;14;2;3;2;1;200;200;29;13,65267944;1057,924438;13,77066057;1069,722551;1179811,287;168,9274139;81389,28652;1098422;"[2; 3; 1; 10; 10]"
0;20;2;6;2;1;220;220;29;13,65305233;1081,070068;13,8072778;1096,492616;1542254,735;156,4595184;80172,73489;1462082;"[2; 6; 1; 11; 11]"
0;19;2;6;2;1;240;100;29;13,65465641;1002,723022;13,76907463;1014,164845;1144182,228;212,9007568;85060,22815;1059122;"[2; 6; 1; 12; 5]"
0;14;2;3;2;1;220;220;29;13,65837383;989,3372192;13,79782132;1003,281968;1394474,855;161,2661896;80652,85512;1313822;"[2; 3; 1; 11; 11]"
0;14;2;3;2;1;220;220;29;13,65837383;989,3372192;13,79782132;1003,281968;1394474,855;161,2661896;80652,85512;1313822;"[2; 3; 1; 11; 11]"
0;14;2;3;2;1;220;220;29;13,65837383;989,3372192;13,79782132;1003,281968;1394474,855;161,2661896;80652,85512;1313822;"[2; 3; 1; 11; 11]"
0;14;2;3;2;1;220;220;29;13,65837383;989,3372192;13,79782132;1003,281968;1394474,855;161,2661896;80652,85512;1313822;"[2; 3; 1; 11; 11]"
0;18;2;8;2;1;220;220;29;13,66295719;1074,598022;13,82714988;1091,017292;1641926,913;164,8843689;81004,91343;1560922;"[2; 8; 1; 11; 11]"
0;18;2;8;2;1;220;220;29;13,66295719;1074,598022;13,82714988;1091,017292;1641926,913;164,8843689;81004,91343;1560922;"[2; 8; 1; 11; 11]"
0;15;2;5;2;1;260;260;29;13,67129421;1076,21582;13,87122004;1096,208403;1999258,231;157,4833984;80276,23117;1918982;"[2; 5; 1; 13; 13]"
0;15;2;3;2;1;220;100;29;13,67258072;960,6849365;13,7605213;969,4789941;879405,7602;214,5647583;85183,7602;794222;"[2; 3; 1; 11; 5]"
0;15;2;3;2;1;400;120;29;13,67687893;946,8928833;13,89060302;968,2652928;2137240,946;204,4676971;84418,94551;2052822;"[2; 3; 1; 20; 6]"
0;15;3;5;3;1;260;160;28;13,68511391;1045,899658;13,84533597;1061,921865;1602220,673;181,1611481;82498,67283;1519722;"[3; 5; 1; 13; 8]"
0;18;2;6;2;1;400;240;29;13,6985445;1086,338623;14,01186284;1117,670457;3133183,426;158,1318054;80341,42631;3052842;"[2; 6; 1; 20; 12]"
0;15;2;4;2;1;340;180;29;13,6991663;1023,421265;13,90568789;1044,073424;2065215,963;174,386795;81893,96299;1983322;"[2; 4; 1; 17; 9]"
0;19;2;5;2;1;200;180;29;13,70165539;1027,638428;13,81931006;1039,403895;1176546,763;167,3957367;81244,76307;1095302;"[2; 5; 1; 10; 9]"
